,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
90,2021-11-10,1008.6399627388727,895.6903292000768,1110.6513747609322,1008.6399627388727,1008.6399627388727,-6.8349517352438545,-6.8349517352438545,-6.8349517352438545,-6.8349517352438545,-6.8349517352438545,-6.8349517352438545,0.0,0.0,0.0,1001.8050110036288
91,2021-11-11,1010.949734522949,888.8301472862215,1109.3364526636403,1010.949734522949,1010.949734522949,-15.362029921666341,-15.362029921666341,-15.362029921666341,-15.362029921666341,-15.362029921666341,-15.362029921666341,0.0,0.0,0.0,995.5877046012827
92,2021-11-12,1013.2595063070253,886.4063294574082,1110.6127744669413,1013.2595063070253,1013.2595063070253,-19.73268640308673,-19.73268640308673,-19.73268640308673,-19.73268640308673,-19.73268640308673,-19.73268640308673,0.0,0.0,0.0,993.5268199039385
93,2021-11-15,1020.1888216592542,903.3063788340818,1126.6906979589123,1020.1888216592542,1020.1888216592542,-3.6745965718962625,-3.6745965718962625,-3.6745965718962625,-3.6745965718962625,-3.6745965718962625,-3.6745965718962625,0.0,0.0,0.0,1016.514225087358
94,2021-11-16,1022.4985934433306,909.4513520339102,1118.7457615405428,1022.4985934433306,1022.4985934433306,-8.923456450969374,-8.923456450969374,-8.923456450969374,-8.923456450969374,-8.923456450969374,-8.923456450969374,0.0,0.0,0.0,1013.5751369923612
95,2021-11-17,1024.808365227407,909.8549984663638,1122.2527533065324,1024.808365227407,1024.808365227407,-6.83495173525212,-6.83495173525212,-6.83495173525212,-6.83495173525212,-6.83495173525212,-6.83495173525212,0.0,0.0,0.0,1017.9734134921548
96,2021-11-18,1027.1181370114832,895.7674292748859,1123.6212638338063,1027.1181370114832,1027.1181370114832,-15.362029921669343,-15.362029921669343,-15.362029921669343,-15.362029921669343,-15.362029921669343,-15.362029921669343,0.0,0.0,0.0,1011.7561070898139
97,2021-11-19,1028.1077895651827,896.8094989506212,1112.2482065311426,1028.1077895651827,1028.1077895651827,-19.73268640307008,-19.73268640307008,-19.73268640307008,-19.73268640307008,-19.73268640307008,-19.73268640307008,0.0,0.0,0.0,1008.3751031621126
98,2021-11-22,1031.0767472262808,913.3431554199179,1141.6436986563288,1031.0767472262808,1031.0767472262808,-3.674596571892106,-3.674596571892106,-3.674596571892106,-3.674596571892106,-3.674596571892106,-3.674596571892106,0.0,0.0,0.0,1027.4021506543886
99,2021-11-23,1032.0663997799802,914.1242958856379,1135.1467434892998,1032.0663997799802,1032.0663997799802,-8.923456450955282,-8.923456450955282,-8.923456450955282,-8.923456450955282,-8.923456450955282,-8.923456450955282,0.0,0.0,0.0,1023.1429433290249
100,2021-11-24,1033.0560523336794,919.0458349704842,1138.6480450760962,1033.0560523336794,1033.0560523336794,-6.834951735240093,-6.834951735240093,-6.834951735240093,-6.834951735240093,-6.834951735240093,-6.834951735240093,0.0,0.0,0.0,1026.2211005984393
101,2021-11-26,1035.035357441078,908.7528167736884,1125.2494287407465,1035.035357441078,1035.035357441078,-19.732686403165754,-19.732686403165754,-19.732686403165754,-19.732686403165754,-19.732686403165754,-19.732686403165754,0.0,0.0,0.0,1015.3026710379123
102,2021-11-29,1038.0043151021762,924.6365891371577,1143.092278238722,1038.0043151021762,1038.0043151021762,-3.674596571951224,-3.674596571951224,-3.674596571951224,-3.674596571951224,-3.674596571951224,-3.674596571951224,0.0,0.0,0.0,1034.329718530225
103,2021-11-30,1038.9939676558756,909.8946732679065,1133.7548904461776,1038.9939676558756,1038.9939676558756,-8.923456450970011,-8.923456450970011,-8.923456450970011,-8.923456450970011,-8.923456450970011,-8.923456450970011,0.0,0.0,0.0,1030.0705112049056
104,2021-12-01,1038.813271682144,918.1775773860513,1138.5370540383717,1038.813271682144,1038.813271682144,-6.834951735248578,-6.834951735248578,-6.834951735248578,-6.834951735248578,-6.834951735248578,-6.834951735248578,0.0,0.0,0.0,1031.9783199468955
105,2021-12-02,1038.6325757084128,911.7073827431925,1140.8155715108967,1038.6325757084128,1038.6325757084128,-15.36202992170634,-15.36202992170634,-15.36202992170634,-15.36202992170634,-15.36202992170634,-15.36202992170634,0.0,0.0,0.0,1023.2705457867064
106,2021-12-03,1038.4518797346814,907.3189012482596,1123.8287807741885,1038.4518797346814,1038.4518797346814,-19.73268640314277,-19.73268640314277,-19.73268640314277,-19.73268640314277,-19.73268640314277,-19.73268640314277,0.0,0.0,0.0,1018.7191933315386
107,2021-12-06,1037.9097918134871,920.6353937463301,1153.6484044717638,1037.9097918134871,1037.9097918134871,-3.6745965719470672,-3.6745965719470672,-3.6745965719470672,-3.6745965719470672,-3.6745965719470672,-3.6745965719470672,0.0,0.0,0.0,1034.23519524154
108,2021-12-07,1037.7290958397557,910.5999207924147,1139.9850923842318,1037.7290958397557,1037.7290958397557,-8.923456450968569,-8.923456450968569,-8.923456450968569,-8.923456450968569,-8.923456450968569,-8.923456450968569,0.0,0.0,0.0,1028.805639388787
109,2021-12-08,1037.5483998660243,927.8013469955678,1139.861951315448,1037.5483998660243,1037.5483998660243,-6.834951735236549,-6.834951735236549,-6.834951735236549,-6.834951735236549,-6.834951735236549,-6.834951735236549,0.0,0.0,0.0,1030.7134481307878
110,2021-12-09,1037.3677038922929,914.568073619082,1135.012622667704,1037.3677038922929,1037.3677038922929,-15.36202992171709,-15.36202992171709,-15.36202992171709,-15.36202992171709,-15.36202992171709,-15.36202992171709,0.0,0.0,0.0,1022.0056739705758
